,SDG711_pct,ADM1+ADM2
303,58.459512017663194,XinjiangUygur+Kashgar
304,62.47870520639898,XinjiangUygur+Khotan
305,44.624533449348576,XinjiangUygur+KizilsuKirghiz
306,90.45063601765267,XinjiangUygur+Shihezi
307,52.39607279576008,XinjiangUygur+Tacheng
308,51.35354949169374,XinjiangUygur+Turfan
309,98.79104837178264,XinjiangUygur+Ürümqi
310,13.456314129547064,Xizang+Chamdo
311,57.51386084287896,Xizang+Lhasa
312,14.2861900844491,Xizang+Nagchu
313,12.31631305019345,Xizang+Ngari
314,25.314679129780803,Xizang+Nyingtri
315,23.843789965023596,Xizang+Shannan
316,19.18149549729849,Xizang+Shigatse
317,51.44562575691831,Yunnan+Baoshan
318,45.61990852053712,Yunnan+ChuxiongYi
319,56.17657524302806,Yunnan+DaliBai
320,52.63499657459703,Yunnan+DehongDaiandJingpo
321,37.70058382260335,Yunnan+DêqênTibetan
322,48.24725218262372,Yunnan+HongheHaniandYi
323,83.1553662477895,Yunnan+Kunming
324,44.14016430975963,Yunnan+Lijiang
325,39.40460852014858,Yunnan+Lincang
326,36.736402192155005,Yunnan+NujiangLisu
327,34.00592113568745,Yunnan+Pu'er
328,47.19317813111893,Yunnan+Qujing
329,33.450603008490525,Yunnan+WenshanZhuangandMiao
330,49.8788187184285,Yunnan+XishuangbannaDai
331,72.25094556901753,Yunnan+Yuxi
332,30.46972357654585,Yunnan+Zhaotong
333,95.10871269882904,Zhejiang+Hangzhou
334,95.52867003349246,Zhejiang+Huzhou
335,99.70721335327238,Zhejiang+Jiaxing
336,93.448669371118,Zhejiang+Jinhua
337,78.20296298075078,Zhejiang+Lishui
338,98.18501129354942,Zhejiang+Ningbo
339,79.09774685518079,Zhejiang+Quzhou
340,94.67175361659056,Zhejiang+Shaoxing
341,95.71400420697422,Zhejiang+Taizhou
342,97.430320118488,Zhejiang+Wenzhou
343,98.74960915599834,Zhejiang+Zhoushan
