,SDG911_pct,ADM1_PROVINCE;ADM2_PREFECTURE
218,60.6729592111,NeiMongol;XilinGol
219,61.1548346796,NeiMongol;Xing'an
220,84.552896332,NingxiaHui;Guyuan
221,92.1605059458,NingxiaHui;Shizuishan
222,83.801928625,NingxiaHui;Wuzhong
223,94.8674707785,NingxiaHui;Yinchuan
224,82.93402041829998,NingxiaHui;Zhongwei
225,46.4959471793,Qinghai;GologTibetan
226,50.1629806065,Qinghai;GyêguTibetan
227,67.7391966195,Qinghai;HaibeiTibetan
228,80.71552114659998,Qinghai;Haidong
229,61.8575277443,Qinghai;HainanTibetan
230,58.7575839858,Qinghai;HaixiMongolandTibetan
231,63.5276447111,Qinghai;HuangnanTibetan
232,84.7948089133,Qinghai;Xining
233,67.285516762,Shaanxi;Ankang
234,87.97486511399998,Shaanxi;Baoji
235,85.1160742973,Shaanxi;Hanzhong
236,70.7312566116,Shaanxi;Shangluo
237,86.9560417067,Shaanxi;Tongchuan
238,87.2782469616,Shaanxi;Weinan
239,93.2995163936,Shaanxi;Xi'an
240,90.8618512291,Shaanxi;Xianyang
241,78.4433284995,Shaanxi;Yan'an
242,77.9346281367,Shaanxi;Yulin
243,89.5690796999,Shandong;Binzhou
244,89.99496138339998,Shandong;Dezhou
245,91.2467872296,Shandong;Dongying
246,90.3458802012,Shandong;Heze
247,94.6429175172,Shandong;Jinan
248,91.7626446757,Shandong;Jining
249,90.1648547952,Shandong;Laiwu
250,91.6167747389,Shandong;Liaocheng
251,96.2006193642,Shandong;Linyi
252,97.3081248552,Shandong;Qingdao
253,93.5967232696,Shandong;Rizhao
254,91.6755138499,Shandong;Tai'an
255,94.0073874027,Shandong;Weifang
256,94.92531342260001,Shandong;Weihai
257,91.5232011612,Shandong;Yantai
258,92.6949105086,Shandong;Zaozhuang
259,86.4780992644,Shandong;Zibo
260,99.2737817921,Shanghai;Shanghai
261,86.4124321905,Shanxi;Changzhi
262,88.7277858006,Shanxi;Datong
263,89.167246077,Shanxi;Jincheng
264,87.0250273626,Shanxi;Jinzhong
265,83.5530684024,Shanxi;Linfen
266,78.8163301367,Shanxi;Luliang
267,89.5639813704,Shanxi;Shuozhou
268,91.1341683991,Shanxi;Taiyuan
269,82.85689704339998,Shanxi;Xinzhou
